id,oai_identifier,oai_datestamp,auth_name,auth_date,auth_activity,auth_occupation,auth_biography,auth_datestamp,nkp_aut_url,cover,ts,harvest_max_eshop,harvest_last_time,viafID
czu2013786035,oai:aleph-nkp.cz:AUT10-000786035,2014-03-31T06:11:29Z,"Hönig, Vladimír,",1982-,NULL,NULL,"Narozen 5. 10. 1982. Ing., Ph.D., agrobiolog a vysokoškolský pedagog zaměřený především na využití kapalných biopaliv pro pohon spalovacích motorů, autor prací z oboru. Také politik.",20140331081113.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000786035&local_base=AUT,1387070,"2016-03-06 10:25:08",7040,"2016-08-24 04:11:58",305384072
hka0076175,oai:aleph-nkp.cz:AUT10-000110569,2012-06-30T22:27:40Z,"Vik, Ladislav,",1923-2011,NULL,NULL,"Narozen 25. 3. 1923 ve Vysokém nad Jizerou (okr. Semily), zemřel 22. 7. 2011 v Praze. Řeholník salesián Dona Boska.",20110809105726.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000110569&local_base=AUT,1387070,"2016-03-05 21:58:18",7040,"2016-08-24 04:17:00",83651858
hka0076587,oai:aleph-nkp.cz:AUT10-000110592,2012-06-30T22:27:40Z,"Junek, Čeněk,",1894-1928,NULL,NULL,"Narozen 25.5.1894 Letohrad, zemřel 15.7.1928 Německo. Automobilový závodník.",19970830000000.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000110592&local_base=AUT,1387070,"2016-03-05 21:58:19",7040,"2016-08-24 04:17:37",83652061
hka0077307,oai:aleph-nkp.cz:AUT10-000110607,2012-06-30T22:27:40Z,"Fišera, Miloš,",1950-,NULL,NULL,"Narozen 17.5.1950 Vrchlabí. Cyklista, cyklokrosař od r. 1990 trenér čs. družstva cyklokrosařů.",19970830000000.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000110607&local_base=AUT,1387070,"2016-03-05 21:58:19",7040,"2016-08-24 04:18:00",83652185
hka0080489,oai:aleph-nkp.cz:AUT10-000110665,2012-06-30T22:27:40Z,"Ludwig, Miroslav,",1956-,NULL,NULL,"Narozen 7.4.1956 Litoměřice. Doc.Ing.,CSc. Organický chemik, vědecký pracovník, vysokoškolský pedagog, odborný publicista.",19970830000000.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000110665&local_base=AUT,1387070,"2016-03-05 21:58:22",7040,"2016-08-24 04:19:31",83652747
hka0112484,oai:aleph-nkp.cz:AUT10-000110746,2012-06-30T22:27:41Z,"Wratislav z Mitrowic, Jan Adam Bernhard,",1677-1733,NULL,NULL,"Narozen 20. 5. 1677 Chotoviny, zemřel 2. 6. 1733 Mödling u Vídně. Šestý biskup královéhradecký (1711-1721), 4. biskup litoměřický (1721-1733), jmenovaný arcibiskup pražský (1733).",20100105105749.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000110746&local_base=AUT,1387070,"2016-03-05 21:58:31",7040,"2016-08-24 04:21:56",83653507
hka2010578426,oai:aleph-nkp.cz:AUT10-000578426,2013-08-16T05:42:54Z,"Petřikov, Pavel,",1986-,NULL,NULL,"Narozen 20. 6. 1986 v Hořicích. Judista.",20130816074220.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000578426&local_base=AUT,1387070,"2016-03-06 10:10:01",7040,"2016-08-24 04:32:48",121296030
hka2010610363,oai:aleph-nkp.cz:AUT10-000610363,2013-09-23T10:51:25Z,"Cogan, Josef,",1973-,NULL,NULL,"Narozen 26. 8. 1973 v Hořičích (okres Jičín). Politik, právník, poslanec Parlamentu ČR za Královéhradecký kraj, starosta Nové Paky a člen hnutí Starostové a nezávislí zvolený za TOP 09.",20130923125006.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000610363&local_base=AUT,1387070,"2016-03-06 10:13:41",7040,"2016-08-24 04:39:00",160122865
hka2010611996,oai:aleph-nkp.cz:AUT10-000611996,2013-09-23T05:47:57Z,"Pajer, Jan,",1980-,NULL,NULL,"Narozen 26. 6. 1980. Politik, poslanec Parlamentu ČR.",20130923074734.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000611996&local_base=AUT,1387070,"2016-03-06 10:13:37",7040,"2016-08-24 04:39:22",160439546
hka2010617464,oai:aleph-nkp.cz:AUT10-000617464,2015-03-12T07:58:47Z,"Petřikov, Pavel,",1959-,NULL,NULL,"Narozen 1. 7. 1959 ve Slaném. bývalý reprezentant Československa v judu. Trenér judistů v Hradci Králové, otec judisty Pavla, reprezentanta České republiky.",20150312085745.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000617464&local_base=AUT,1387070,"2016-03-06 10:56:57",7040,"2016-08-24 04:41:48",160730078
hka2011653795,oai:aleph-nkp.cz:AUT10-000653795,2015-03-17T08:00:28Z,"Bochner, S.",1899-1982,NULL,NULL,"Americký matematik původem z Rakouska-Uherska, působil v oblasti matematické analýzy, teorie pravděpodobnosti a diferenciální geometrie.",20150317085953.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000653795&local_base=AUT,1387070,"2016-03-06 10:58:02",7040,"2016-08-24 04:50:52",59163063
hka2012682131,oai:aleph-nkp.cz:AUT10-000682131,2015-08-04T08:25:39Z,"Adolf, Josef,",1898-1951,"severská kombinace",lyžaři,"Narozen 14. 5. 1898 ve Velké Úpě (okr. Trutnov), zemřel 1951 ve Viechtachu (Německo). Závodník v severském lyžování německé národnosti.",20150804102435.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000682131&local_base=AUT,1387070,"2016-03-06 11:18:00",7040,"2016-08-24 04:58:03",232364047
hka2013792295,oai:aleph-nkp.cz:AUT10-000792295,2014-11-25T10:24:57Z,"Piontek, Ferdinand,",1878-1963,NULL,NULL,"Německý římskokatolický duchovní a kapitulní vikář vratislavské arcidiecéze, autor náboženských pojednání.",20141125112359.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000792295&local_base=AUT,1387070,"2016-03-06 10:46:40",7040,"2016-08-24 05:14:04",71900004
hka2015854245,oai:aleph-nkp.cz:AUT10-000854245,2015-01-13T06:45:26Z,"Petráš, Ladislav,",1946-,NULL,NULL,"Slovenský fotbalista a trenér.",20150113074438.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000854245&local_base=AUT,1387070,"2016-03-06 10:51:25",7040,"2016-08-24 05:27:05",314822408
jk01010012,oai:aleph-nkp.cz:AUT10-000000008,2012-06-30T22:26:40Z,"Ackermann, Josef,",1803-1875,NULL,NULL,"Narozen 8.3.1803 v Dobřanech, zemřel 3.12.1875 v Litoměřicích. Děkan kapituly v Litoměřicích, autor modlitební knihy, překladatel do dánštiny.",19980211000000.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000000008&local_base=AUT,1387070,"2016-03-05 21:50:12",7040,"2016-08-24 05:39:52",83654526
jk01010040,oai:aleph-nkp.cz:AUT10-000000035,2012-06-30T22:26:40Z,"Adamec, František,",1866-1946,NULL,NULL,"Narozen 12.11.1866 v Nemojanech u Vyškova, zemřel 5.8.1946 v Bystrci u Brna. Katolický kněz, monsignore, děkan, konsistorní rada, včelař, práce o včelařství.",20041008081116.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000000035&local_base=AUT,1387070,"2016-03-05 21:50:12",7040,"2016-08-24 05:40:19",83654722
jk01010070,oai:aleph-nkp.cz:AUT10-000000080,2012-06-30T22:26:41Z,"Adámek, Jarolím,",1915-1969,NULL,NULL,"Narozen roku 14.2.1915 v Bludově u Šumperka, zemřel 18.12.1969 v Horní Poustevně u Rumburku. ThDr., kněz kláštera školských sester v Horní Poustevně, teologické práce.",20041202132845.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000000080&local_base=AUT,1387070,"2016-03-05 21:50:13",7040,"2016-08-24 05:40:54",83654947
jk01010421,oai:aleph-nkp.cz:AUT10-000000383,2012-06-30T22:26:42Z,"Augusta, Josef,",1903-1968,NULL,NULL,"Narozen 17.3.1903 v Boskovicích, zemřel 4.2.1968 v Praze. RNDr. DrSc., profesor paleontologie na Přírodovědecké fakultě University Karlovy, populárněvědný spisovatel a beletrista pro mládež.",19980213000000.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000000383&local_base=AUT,1387070,"2016-03-05 21:50:15",7040,"2016-08-24 05:47:35",125283
jk01010690,oai:aleph-nkp.cz:AUT10-000000616,2012-06-30T22:26:44Z,"Balík, Jaroslav,",1924-1996,NULL,NULL,"Narozen 23.6.1924 v Praze, zemřel 17.10.1996. Filmový režisér a scénárista.",19980211000000.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000000616&local_base=AUT,1387070,"2016-03-05 21:50:17",7040,"2016-08-24 05:52:56",83659146
jk01011354,oai:aleph-nkp.cz:AUT10-000001226,2012-06-30T22:26:46Z,"Bedřich, Václav,",1918-2009,NULL,NULL,"Narozen 28. 8. 1918 v Příbrami, zemřel 7. 3. 2009 v Praze. Režisér animovaných filmů, zejména pro děti, výtvarník a ilustrátor.",20100304121424.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000001226&local_base=AUT,1387070,"2016-03-05 21:50:22",7040,"2016-08-24 03:37:49",83663435
jk01011592,oai:aleph-nkp.cz:AUT10-000001361,2012-06-30T22:26:47Z,"Beneš, Jaroslav,",1892-1963,NULL,NULL,"Narozen 6.4.1892 v Praze, zemřel 24.6.1963 v Praze. ThDr. PhDr., profesor křesťanské filosofie na Husově teologické fakultě v Praze, práce z oboru.",19980216000000.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000001361&local_base=AUT,1387070,"2016-03-05 21:50:23",7040,"2016-08-24 03:42:37",83664941
jk01011606,oai:aleph-nkp.cz:AUT10-000001377,2012-06-30T22:26:47Z,"Beneš, Josef,",1902-1984,NULL,NULL,"Narozen 11.1.1902 v Prachaticích, zemřel 17.12.1984. Prof., PhDr. CSc., docent, filolog - bohemista, germanista, jazykovědné práce z oboru češtiny.",19990225000000.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000001377&local_base=AUT,1387070,"2016-03-05 21:50:23",7040,"2016-08-24 03:42:55",14408417
jk01011985,oai:aleph-nkp.cz:AUT10-000001716,2012-06-30T22:26:48Z,"Bezouška, Bohumil,",1921-1995,NULL,NULL,"Narozen 19.12.1921 v Praze, zemřel 18.10.1995. Herec, autor memoárové literatury.",19980217000000.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000001716&local_base=AUT,1387070,"2016-03-05 21:50:25",7040,"2016-08-24 03:50:17",79419984
jk01012157,oai:aleph-nkp.cz:AUT10-000001898,2012-06-30T22:26:49Z,"Bistřický, Jan,",1930-2008,NULL,NULL,"Narozen 12.6.1930 v Brně, zemřel 21.10.2008. Doc., PhDr., CSc., archivář, stati z oboru, zejména z oblasti severní Moravy a Olomoucka.",20090226090833.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000001898&local_base=AUT,1387070,"2016-03-05 21:50:29",7040,"2016-08-24 03:53:45",83668786
jk01012677,oai:aleph-nkp.cz:AUT10-000002413,2012-06-30T22:26:50Z,"Borovec, Zdeněk,",1932-2001,NULL,NULL,"Narozen 7.1.1932 v Praze, zemřel 17.2.2001. Hudební textař, libretista.",20010219000000.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000002413&local_base=AUT,1387070,"2016-03-05 21:50:33",7040,"2016-08-24 04:03:47",83672199
jk01020105,oai:aleph-nkp.cz:AUT10-000003191,2012-06-30T22:26:54Z,"Bubník, Josef,",1879-1957,NULL,NULL,"Narozen 14.5.1879 v Teplicích-Šanově, zemřel 4.7.1957. Sociálně demokratický a komunistický politik, literatura politická, práce o sociálním pojištění a rétorice.",19980217000000.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000003191&local_base=AUT,1387070,"2016-03-05 21:50:46",7040,"2016-08-24 04:20:16",83677557
jk01020207,oai:aleph-nkp.cz:AUT10-000003289,2012-06-30T22:26:54Z,"Bukač, Luděk,",1935-,NULL,NULL,"Narozen 4.8.1935 v Ústí nad Labem. PhDr., pedagog, hokejový trenér, literatura z oboru.",20030804093552.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000003289&local_base=AUT,1387070,"2016-03-05 21:50:46",7040,"2016-08-24 04:22:34",83678339
jk01020241,oai:aleph-nkp.cz:AUT10-000003322,2012-06-30T22:26:54Z,"Bulín, Hynek,",1869-1950,NULL,NULL,"Narozen 13.12.1869 v Horních Heršpicích u Brna, zemřel 1950 v Brně. JUDr., politik, menšinový a sokolský pracovník, beletrista, autor regionálních statí z Brněnska.",19980217000000.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000003322&local_base=AUT,1387070,"2016-03-05 21:50:47",7040,"2016-08-24 04:23:08",83678608
jk01020242,oai:aleph-nkp.cz:AUT10-000003323,2012-06-30T22:26:54Z,"Bulín, Hynek,",1908-1996,NULL,NULL,"Narozen 23.11.1908 v Brně, zemřel 22.12.1996 tamtéž. JUDr.,CSc., docent, autor právnické literatury.",20041005152012.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000003323&local_base=AUT,1387070,"2016-03-05 21:50:47",7040,"2016-08-24 04:23:09",306138044
jk01020496,oai:aleph-nkp.cz:AUT10-000003554,2012-06-30T22:26:55Z,"Bystrov, Vladimír,",1935-2010,NULL,NULL,"Narozen 7. 8. 1935 v Praze, zemřel 1. 6. 2010 tamtéž. Publicista, filmový a divadelní kritik, překladatel z ruštiny.",20100604073551.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000003554&local_base=AUT,1387070,"2016-03-05 21:50:51",7040,"2016-08-24 04:28:18",7031686
jk01020767,oai:aleph-nkp.cz:AUT10-000003821,2012-06-30T22:26:56Z,"Císař, Jaromír,",1929-,NULL,NULL,"Narozen 5.9.1929 v Týnečku. Prof., Ing., CSc., ekonom, práce z oboru cen, drobného podnikání a bytové politiky.",20000926000000.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000003821&local_base=AUT,1387070,"2016-03-05 21:50:56",7040,"2016-08-24 04:33:29",83682148
jk01020874,oai:aleph-nkp.cz:AUT10-000003922,2015-10-15T07:26:44Z,"Cvetler, Jiří,",1902-1991,"právní dějiny, slavistika, papyrologie","historici, právníci, slavisté","Narozen 4. 2. 1902 v Praze, zemřel 16. 9. 1991 v Brně. Prof. JUDr., československý právní historik, papyrolog a slavista. Působil na Právnické fakultě Univerzity Karlovy, Právnické fakultě Masarykovy univerzity a ve Slovanském ústavu ČSAV.",20151015092606.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000003922&local_base=AUT,1387070,"2016-03-06 11:23:49",7040,"2016-08-24 04:35:33",70269091
jk01020926,oai:aleph-nkp.cz:AUT10-000004070,2012-06-30T22:26:57Z,"Čáda, František,",1895-1975,NULL,NULL,"Narozen 30.5.1895 v Praze, zemřel 10.10.1975 v Brně. JUDr., profesor právní historie, archivář, práce z oborů, redaktor.",20040324100252.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000004070&local_base=AUT,1387070,"2016-03-05 21:51:05",7040,"2016-08-24 04:36:28",20058069
jk01021691,oai:aleph-nkp.cz:AUT10-000004664,2012-06-30T22:26:58Z,"Červenka z Věžnova, Václav Vojtěch,",1636-1694,NULL,NULL,"Narozen 1636 v Turnově, zemřel 1694 v Litoměřicích. Katolický kněz, historik, autor biografie Albrechta z Valdštejna, náboženské spisy.",20040309162820.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000004664&local_base=AUT,1387070,"2016-03-05 21:51:12",7040,"2016-08-24 04:51:09",83688303
jk01021929,oai:aleph-nkp.cz:AUT10-000004879,2012-06-30T22:26:59Z,"Čtvrtek, Václav,",1911-1976,NULL,NULL,"Narozen 4.4.1911 v Praze, zemřel 6.11.1976 v Praze. Spisovatel a rozhlasový pracovník, autor pohádek, rozhlasových a filmových her pro děti a mládež, též prózy pro dospělé.",20110411132004.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000004879&local_base=AUT,1387070,"2016-03-05 21:51:16",7040,"2016-08-24 04:55:44",41873407
jk01021979,oai:aleph-nkp.cz:AUT10-000004926,2012-06-30T22:26:59Z,"Dacík, Reginald Maria,",1907-1988,NULL,NULL,"Narozen 1907, zemřel 1988. Teolog, dominikán, redaktor řádového tisku, autor náboženských, filosofických a etických spisů.",20000926000000.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000004926&local_base=AUT,1387070,"2016-03-05 21:51:17",7040,"2016-08-24 04:56:38",77299514
jk01022022,oai:aleph-nkp.cz:AUT10-000004974,2012-10-18T09:01:13Z,"Daněk, Slavomil,",1885-1946,NULL,NULL,"Narozen 5. 10. 1885 v Uherském Hradišti, zemřel 23. 2. 1946 v Praze. Prof., PhDr., evangelický duchovní, teolog, profesor starozákonní vědy.",20121018105946.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000004974&local_base=AUT,1387070,"2016-03-06 00:08:07",7040,"2016-08-24 04:57:28",306138076
jk01022080,oai:aleph-nkp.cz:AUT10-000005016,2012-06-30T22:27:00Z,"David, Ivan,",1952-,NULL,NULL,"Narozen 24.9.1952 v Praze. MUDr., CSc., psycholog a psychiatr, práce z oboru.",20000519000000.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000005016&local_base=AUT,1387070,"2016-03-05 21:51:18",7040,"2016-08-24 04:58:39",83690900
jk01022426,oai:aleph-nkp.cz:AUT10-000005327,2012-06-30T22:27:01Z,"Dobiáš, Josef,",1888-1972,NULL,NULL,"Narozen 26.9.1888 v Pelhřimově, zemřel 20.1.1972 v Praze. PhDr., DrSc., profesor antických dějin, literatura z oboru a z českých dějin.",19980305000000.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000005327&local_base=AUT,1387070,"2016-03-05 21:51:26",7040,"2016-08-24 05:05:00",42221709
jk01022637,oai:aleph-nkp.cz:AUT10-000005518,2012-06-30T22:27:01Z,"Doležal, Pavel,",1700-1778,NULL,NULL,"Narozen 20.1.1700 ve Skalici (Slovensko), zemřel 29.11.1778 v Boci (Slovensko). Evangelický kazatel, filolog-bohemista, autor české gramatiky a dalších lingvistických prací, vydavatel veršované bible.",20040819140046.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000005518&local_base=AUT,1387070,"2016-03-05 21:51:33",7040,"2016-08-24 05:08:54",55067736
jk01022700,oai:aleph-nkp.cz:AUT10-000005578,2012-06-30T22:27:02Z,"Dominik, Rudolf,",1890-1950,NULL,NULL,"Narozen 6.9.1890 v Boskovicích, zemřel 1950. JUDr., politik, profesor obchodního práva, literatura z oboru.",19980306000000.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000005578&local_base=AUT,1387070,"2016-03-05 21:51:38",7040,"2016-08-24 05:10:02",83694966
jk01022815,oai:aleph-nkp.cz:AUT10-000005686,2012-06-30T22:27:02Z,"Dostál, Pavel,",1943-2005,NULL,NULL,"Narozen 25.2.1943 v Olomouci, zemřel 24.7.2005 v Brně. Dramatik, publicista, režisér, později i politik a redaktor Práva, dlouholetý ministr kultury za ČSSD.",20050725070844.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000005686&local_base=AUT,1387070,"2016-03-05 21:51:38",7040,"2016-08-24 05:12:28",21400300
jk01023026,oai:aleph-nkp.cz:AUT10-000005879,2012-06-30T22:27:02Z,"Drbohlav, Jan Křtitel,",1811-1877,NULL,NULL,"Narozen 28.3.1811 v Týně nad Rovenskem, zemřel 24.6.1877 v Litoměřicích. Katolický kněz, pedagog, náboženské stati, katolický zpěvník, překlad náboženské knihy z němčiny.",19980310000000.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000005879&local_base=AUT,1387070,"2016-03-05 21:51:44",7040,"2016-08-24 05:16:42",83697259
jk01023033,oai:aleph-nkp.cz:AUT10-000005887,2012-06-30T22:27:02Z,"Drbohlav, Vincenc,",1861-1937,NULL,NULL,"Narozen 26.8.1861 v Rovensku u Turnova, zemřel 4.1.1937 ve Všeni u Turnova. Katolický kněz, náboženský publicista.",19980310000000.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000005887&local_base=AUT,1387070,"2016-03-05 21:51:44",7040,"2016-08-24 05:16:51",83697318
jk01030020,oai:aleph-nkp.cz:AUT10-000006284,2012-06-30T22:27:04Z,"Dvorský, R. A.,",1899-1966,NULL,NULL,"Narozen 24.3.1899 ve Dvoře Králové, zemřel 2.8.1966 v Praze. Hudební skladatel, kapelník, nakladatel.",19980305000000.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000006284&local_base=AUT,1387070,"2016-03-05 21:51:56",7040,"2016-08-24 05:22:48",83700227
jk01030234,oai:aleph-nkp.cz:AUT10-000006477,2012-06-30T22:27:04Z,"Dyba, Karel,",1940-,NULL,NULL,"Narozen 21.10.1940 v Prostějově. Ing., CSc., ekonom, vědecký pracovník v oboru, práce v oboru makroekonomie.",20000926000000.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000006477&local_base=AUT,1387070,"2016-03-05 21:52:03",7040,"2016-08-24 05:25:54",59116162
jk01030278,oai:aleph-nkp.cz:AUT10-000006513,2012-06-30T22:27:05Z,"Eben, Petr,",1929-2007,NULL,NULL,"Narozen 22. 1. 1929 v Žamberku, zemřel 24. 10. 2007 v Praze. Hudební skladatel, muzikolog, literatura z oboru.",20071025135053.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000006513&local_base=AUT,1387070,"2016-03-05 21:52:12",7040,"2016-08-24 05:26:37",54332286
jk01030537,oai:aleph-nkp.cz:AUT10-000006737,2012-06-30T22:27:05Z,"Erben, Václav,",1930-2003,NULL,NULL,"Narozen 2.11.1930 v Náchodě, zemřel 19.4.2003 v Dobříši. Spisovatel románů a detektivek.",20030422083011.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000006737&local_base=AUT,1387070,"2016-03-05 21:52:11",7040,"2016-08-24 05:31:01",46780209
jk01031155,oai:aleph-nkp.cz:AUT10-000007303,2014-07-31T17:01:35Z,"Filip, Jan,",1950-,NULL,NULL,"Narozen 1950. Profesor Právnické fakulty MU v Brně, práce z oboru státního práva.",20030116101135.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000007303&local_base=AUT,1387070,"2016-03-06 10:33:22",7040,"2016-08-24 05:42:41",33541965
jk01031294,oai:aleph-nkp.cz:AUT10-000007427,2012-06-30T22:27:08Z,"Fischer, Stanislav,",1936-,NULL,NULL,"Narozen 30.11.1936 v Ledcích. Ing., CSc., fyzik, pracovník Astronomického ústavu, práce z oboru.",20000315000000.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000007427&local_base=AUT,1387070,"2016-03-05 21:52:34",7040,"2016-08-24 05:45:13",256450042
jk01031570,oai:aleph-nkp.cz:AUT10-000007679,2015-04-24T23:01:40Z,"Forman, Werner,",1921-2010,NULL,NULL,"Narozen 13. 1. 1921 v Praze, zemřel 13. 2. 2010 v Londýně. Fotograf, orientalista, po roce 1968 v emigraci. Literatura z oboru.",20100218100519.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000007679&local_base=AUT,1387070,"2016-03-06 11:00:21",7040,"2016-08-24 05:50:18",44298881
jk01031812,oai:aleph-nkp.cz:AUT10-000007900,2012-06-30T22:27:10Z,"Frejka, Ludvík,",1904-1952,NULL,NULL,"Narozen 15.1.1904 v Liberci, zemřel 3.12.1952 v Praze. Ing., komunistický funkcionář, národohospodář, literatura z oboru.",20101108100850.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000007900&local_base=AUT,1387070,"2016-03-05 21:52:48",7040,"2016-08-24 05:55:15",58915972
jk01032249,oai:aleph-nkp.cz:AUT10-000008281,2012-06-30T22:27:11Z,"Gahura, František Lydie,",1891-1958,NULL,NULL,"Narozen 10.10.1891 ve Zlíně, zemřel 15.9.1958 v Brně. Architekt, urbanista a sochař, literatura z oboru.",20070109162018.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000008281&local_base=AUT,1387070,"2016-03-05 21:53:02",7040,"2016-08-24 06:03:31",77257177
jk01032265,oai:aleph-nkp.cz:AUT10-000008292,2012-06-30T22:27:11Z,"Gajdoš, Jan,",1903-1945,NULL,NULL,"Narozen 27.12.1903 v Brně, zemřel 19.11.1945 tamtéž. Profesor tělocviku, literatura z oboru.",19980320000000.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000008292&local_base=AUT,1387070,"2016-03-05 21:53:02",7040,"2016-08-24 06:03:48",83714703
jk01032841,oai:aleph-nkp.cz:AUT10-000008816,2015-04-24T23:01:41Z,"Gut, Karel,",1927-2014,NULL,NULL,"Narozen 16. 9. 1927 v Uhříněvsi u Prahy, zemřel 6. 1. 2014 v Praze. Hokejista, trenér, práce z oboru.",20140106133203.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000008816&local_base=AUT,1387070,"2016-03-06 11:00:21",7040,"2016-08-24 06:15:25",45835461
jk01032848,oai:aleph-nkp.cz:AUT10-000008824,2012-06-30T22:27:13Z,"Guth, Karel,",1883-1943,NULL,NULL,"Narozen 21.9.1883 v Praze, zemřel 30.10.1943 v Praze. PhDr., archeolog, historik umění, práce z oboru.",19980324000000.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000008824&local_base=AUT,1387070,"2016-03-05 21:53:25",7040,"2016-08-24 06:15:31",163660406
jk01032878,oai:aleph-nkp.cz:AUT10-000008852,2012-06-30T22:27:13Z,"Haas, Antonín,",1910-1971,NULL,NULL,"Narozen 25.5.1910 v Praze, zemřel 17.12.1971 v Praze. PhDr., archivář, práce z oboru.",19980324000000.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000008852&local_base=AUT,1387070,"2016-03-05 21:53:26",7040,"2016-08-24 06:16:04",24987693
jk01032883,oai:aleph-nkp.cz:AUT10-000008856,2013-10-03T05:38:53Z,"Haas, Lev,",1901-1983,NULL,NULL,"Narozen 15. 4. 1901 v Opavě, zemřel 13. 8. 1983 v Berlíně (Německo). Karikaturista, ilustrátor, profesor Akademie der Künste ve Východním Berlíně.",20131003073823.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000008856&local_base=AUT,1387070,"2016-03-06 10:14:34",7040,"2016-08-24 06:16:08",20471846
jk01032954,oai:aleph-nkp.cz:AUT10-000008912,2012-06-30T22:27:13Z,"Hadač, Václav,",1891-1964,NULL,NULL,"Narozen 13. 8. 1891 v Petrovicích u Třeboně, zemřel 4. 4. 1964 v Jindřichově Hradci. Archivář v Třeboni, práce z oboru.",20100423141429.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000008912&local_base=AUT,1387070,"2016-03-05 21:53:29",7040,"2016-08-24 06:17:52",83719040
jk01033453,oai:aleph-nkp.cz:AUT10-000009243,2012-06-30T22:27:14Z,"Hanus, František,",1916-1991,NULL,NULL,"Narozen 12. 5. 1916 ve Valašském Meziříčí, zemřel 2. 9. 1991. Herec.",20060831153407.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000009243&local_base=AUT,1387070,"2016-03-05 21:53:41",7040,"2016-08-24 06:28:20",83722366
jk01040231,oai:aleph-nkp.cz:AUT10-000009536,2012-06-30T22:27:15Z,"Havel, Miloš,",1899-1968,NULL,NULL,"Narozen 3.11.1899 v Praze, zemřel 23.2.1968 v Mnichově (Německo). Zakladatel barrandovských ateliérů, náměty k filmům.",19980313000000.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000009536&local_base=AUT,1387070,"2016-03-05 21:53:51",7040,"2016-08-24 06:34:25",83724543
jk01040575,oai:aleph-nkp.cz:AUT10-000009993,2012-06-30T22:27:17Z,"Hejna, Ivan,",1953-,NULL,NULL,"Narozen 26.3.1953 v Praze. Scénárista a rozhlasový dramaturg, autor rozhlasových a televizních her.",20061027133355.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000009993&local_base=AUT,1387070,"2016-03-05 21:54:06",7040,"2016-08-24 06:41:55",83726914
